1.00,3.00,454.27,13.00,5905.54
2.00,4.00,147.30,16.00,2356.74
3.00,1.00,434.55,13.00,5649.10
6.00,4.00,35.56,11.00,391.15
7.00,1.00,399.56,14.00,5593.83
9.00,3.00,263.64,19.00,5009.08
12.00,3.00,735.94,17.00,12511.04
14.00,3.00,671.79,19.00,12764.03
15.00,4.00,66.98,19.00,1272.64
17.00,4.00,22.03,19.00,418.65
19.00,4.00,172.33,15.00,2584.89
22.00,1.00,245.93,17.00,4180.78
23.00,2.00,191.56,11.00,2107.18
24.00,4.00,218.58,17.00,3715.88
27.00,2.00,66.60,14.00,932.44
28.00,2.00,29.51,15.00,442.63
31.00,1.00,186.25,18.00,3352.48
32.00,1.00,289.61,18.00,5213.01
36.00,1.00,220.88,15.00,3313.23
37.00,4.00,188.99,10.00,1889.86
39.00,1.00,377.43,10.00,3774.34
40.00,3.00,930.34,11.00,10233.78
44.00,4.00,203.34,11.00,2236.73
47.00,4.00,152.04,10.00,1520.38
52.00,2.00,164.93,17.00,2803.83
56.00,4.00,200.91,11.00,2210.00
57.00,4.00,136.94,19.00,2601.82
59.00,3.00,602.35,11.00,6625.89
61.00,3.00,939.58,17.00,15972.88
62.00,3.00,930.38,10.00,9303.81
69.00,4.00,276.96,11.00,3046.51
72.00,2.00,153.32,19.00,2913.07
73.00,1.00,268.26,19.00,5096.90
74.00,2.00,35.37,14.00,495.22
78.00,4.00,78.62,18.00,1415.10
80.00,4.00,134.45,11.00,1478.99
81.00,3.00,167.41,16.00,2678.50
88.00,1.00,77.88,19.00,1479.64
91.00,4.00,20.57,18.00,370.33
92.00,4.00,25.30,13.00,328.84
94.00,2.00,41.24,10.00,412.35
96.00,2.00,98.82,17.00,1679.97
101.00,3.00,504.17,12.00,6050.05
102.00,2.00,123.97,16.00,1983.53
103.00,2.00,122.76,14.00,1718.69
104.00,4.00,106.40,10.00,1064.04
105.00,2.00,76.80,14.00,1075.14
109.00,2.00,157.99,18.00,2843.77
110.00,3.00,969.65,16.00,15514.35
115.00,3.00,356.69,16.00,5706.96
116.00,4.00,192.92,18.00,3472.62
118.00,2.00,106.76,16.00,1708.21
122.00,1.00,466.09,18.00,8389.60
123.00,2.00,30.12,15.00,451.81
125.00,1.00,460.76,18.00,8293.69
128.00,1.00,162.38,15.00,2435.77
129.00,4.00,109.55,12.00,1314.60
132.00,1.00,281.63,15.00,4224.51
134.00,1.00,57.21,13.00,743.76
136.00,1.00,219.64,13.00,2855.37
140.00,1.00,469.66,17.00,7984.14
142.00,1.00,106.75,11.00,1174.27
145.00,4.00,127.86,17.00,2173.63
147.00,3.00,683.81,12.00,8205.78
148.00,3.00,909.32,14.00,12730.54
151.00,3.00,378.72,10.00,3787.23
152.00,3.00,281.62,10.00,2816.15
154.00,3.00,784.36,13.00,10196.68
155.00,1.00,354.38,10.00,3543.79
157.00,3.00,265.64,11.00,2922.04
159.00,1.00,263.37,14.00,3687.20
160.00,4.00,75.48,17.00,1283.14
162.00,1.00,68.15,10.00,681.50
170.00,2.00,158.43,14.00,2218.03
171.00,4.00,133.40,14.00,1867.55
174.00,4.00,19.99,19.00,379.72
175.00,4.00,139.29,10.00,1392.89
177.00,3.00,896.71,13.00,11657.29
178.00,3.00,178.04,15.00,2670.54
179.00,1.00,292.26,11.00,3214.90
180.00,3.00,921.91,14.00,12906.69
181.00,1.00,224.59,11.00,2470.47
184.00,3.00,941.86,12.00,11302.26
185.00,1.00,388.14,15.00,5822.11
186.00,1.00,473.60,17.00,8051.21
187.00,2.00,141.79,14.00,1985.08
188.00,3.00,427.06,16.00,6833.02
190.00,2.00,69.60,17.00,1183.23
192.00,3.00,730.73,12.00,8768.73
194.00,3.00,936.46,18.00,16856.34
198.00,4.00,28.50,15.00,427.51
199.00,1.00,224.25,10.00,2242.50
200.00,3.00,354.49,17.00,6026.31
201.00,3.00,374.04,19.00,7106.79
202.00,4.00,295.05,12.00,3540.66
204.00,1.00,372.95,15.00,5594.31
205.00,4.00,293.22,14.00,4105.07
207.00,4.00,242.53,17.00,4123.07
209.00,2.00,176.52,13.00,2294.71
211.00,3.00,952.92,13.00,12387.93
212.00,3.00,296.89,16.00,4750.31
214.00,3.00,780.57,13.00,10147.45
215.00,3.00,454.38,18.00,8178.83
217.00,4.00,138.93,13.00,1806.04
218.00,1.00,384.07,19.00,7297.26
219.00,4.00,76.22,13.00,990.81
220.00,3.00,152.61,19.00,2899.63
222.00,3.00,526.88,19.00,10010.68
223.00,2.00,50.24,18.00,904.38
225.00,2.00,92.00,19.00,1747.94
230.00,1.00,319.01,16.00,5104.22
231.00,2.00,139.65,16.00,2234.45
233.00,4.00,213.32,15.00,3199.77
235.00,4.00,156.34,13.00,2032.48
236.00,4.00,12.13,19.00,230.52
238.00,2.00,139.04,12.00,1668.50
240.00,4.00,116.79,17.00,1985.47
242.00,3.00,478.66,16.00,7658.61
244.00,1.00,459.47,18.00,8270.43
248.00,1.00,438.96,11.00,4828.61
249.00,1.00,255.60,15.00,3833.99
251.00,2.00,89.49,13.00,1163.36
255.00,1.00,438.33,18.00,7889.97
257.00,3.00,161.88,11.00,1780.66
259.00,4.00,130.98,13.00,1702.71
262.00,2.00,168.76,19.00,3206.51
264.00,1.00,74.57,12.00,894.90
265.00,3.00,974.66,11.00,10721.27
266.00,2.00,112.27,11.00,1234.98
267.00,4.00,94.35,17.00,1604.02
268.00,4.00,146.13,14.00,2045.79
269.00,3.00,872.07,16.00,13953.15
270.00,3.00,374.41,10.00,3744.13
272.00,4.00,47.43,10.00,474.31
273.00,4.00,96.38,12.00,1156.55
275.00,1.00,262.23,15.00,3933.48
278.00,2.00,79.89,12.00,958.70
279.00,1.00,472.97,14.00,6621.52
280.00,2.00,81.74,16.00,1307.92
281.00,4.00,296.56,19.00,5634.56
283.00,2.00,52.25,11.00,574.74
284.00,3.00,902.03,19.00,17138.50
288.00,1.00,72.58,10.00,725.79
289.00,1.00,93.51,13.00,1215.66
292.00,3.00,265.87,15.00,3988.07
293.00,1.00,67.71,16.00,1083.41
295.00,2.00,159.41,13.00,2072.30
296.00,4.00,48.99,19.00,930.73
300.00,4.00,17.86,15.00,267.91
301.00,1.00,402.58,15.00,6038.64
302.00,1.00,54.73,14.00,766.23
305.00,2.00,97.91,16.00,1566.58
306.00,1.00,290.99,17.00,4946.90
307.00,4.00,148.33,11.00,1631.58
308.00,2.00,90.06,15.00,1350.86
309.00,4.00,267.35,16.00,4277.65
312.00,3.00,653.56,13.00,8496.32
314.00,3.00,965.85,14.00,13521.94
317.00,3.00,350.82,15.00,5262.37
318.00,1.00,481.49,18.00,8666.86
322.00,1.00,175.55,15.00,2633.31
325.00,2.00,29.89,10.00,298.94
326.00,2.00,124.14,16.00,1986.20
327.00,3.00,174.31,12.00,2091.78
328.00,3.00,239.07,14.00,3346.96
329.00,4.00,137.47,11.00,1512.21
330.00,4.00,158.03,19.00,3002.64
332.00,1.00,192.41,10.00,1924.06
334.00,3.00,372.90,15.00,5593.47
335.00,2.00,193.98,11.00,2133.79
338.00,3.00,613.77,17.00,10434.07
339.00,4.00,273.78,18.00,4928.09
342.00,4.00,285.03,10.00,2850.27
344.00,2.00,49.06,11.00,539.67
345.00,3.00,964.67,11.00,10611.39
346.00,3.00,583.79,11.00,6421.65
348.00,4.00,84.71,14.00,1185.99
354.00,4.00,166.08,19.00,3155.59
355.00,4.00,164.66,10.00,1646.64
356.00,3.00,465.08,15.00,6976.21
358.00,4.00,293.46,14.00,4108.47
360.00,3.00,548.50,15.00,8227.50
361.00,4.00,184.94,15.00,2774.12
362.00,1.00,152.27,16.00,2436.28
363.00,1.00,294.70,16.00,4715.27
371.00,4.00,121.51,16.00,1944.15
373.00,2.00,97.73,16.00,1563.60
374.00,4.00,236.72,18.00,4260.89
376.00,4.00,240.26,16.00,3844.23
378.00,1.00,203.93,16.00,3262.90
380.00,1.00,157.23,15.00,2358.46
381.00,4.00,75.07,11.00,825.78
382.00,2.00,110.81,10.00,1108.11
383.00,4.00,85.65,17.00,1455.99
385.00,1.00,341.73,17.00,5809.48
387.00,3.00,500.97,19.00,9518.35
389.00,1.00,307.04,14.00,4298.55
390.00,1.00,438.54,11.00,4823.99
392.00,3.00,612.29,17.00,10408.86
394.00,4.00,179.10,10.00,1791.01
395.00,3.00,746.21,17.00,12685.62
397.00,4.00,36.81,19.00,699.40
398.00,2.00,102.42,18.00,1843.60
399.00,4.00,124.40,17.00,2114.78
